seed,system,rho,execution_status,H_bits,m_bits,consumer_value,comparator_value,class_benefit,observed_benefit,eligible_mass,eligible_reward_drop,no_op_fraction,collapsed,expected_control_diagnostic,error
7203412953912042,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7203412953912042,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7203412953912042,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
7203412953912042,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7203412953912042,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6787546966275242,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6787546966275242,learned,0.25,evaluated,0.75,0.75,1.0,0.6249999999999999,0.375,0.3750000000000001,0.75,1.0,0.0,False,,
6787546966275242,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
6787546966275242,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6787546966275242,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8396052468091594,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8396052468091594,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8396052468091594,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8396052468091594,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8396052468091594,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8544839364282845,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8544839364282845,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8544839364282845,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8544839364282845,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8544839364282845,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7621625333099352,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7621625333099352,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7621625333099352,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
7621625333099352,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
7621625333099352,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4573329353528347,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4573329353528347,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4573329353528347,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4573329353528347,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
4573329353528347,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6550423752103280,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6550423752103280,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6550423752103280,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6550423752103280,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6550423752103280,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6110405684015759,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6110405684015759,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6110405684015759,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6110405684015759,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6110405684015759,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7966862342707171,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7966862342707171,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7966862342707171,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
7966862342707171,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7966862342707171,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6099653181956813,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6099653181956813,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6099653181956813,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
6099653181956813,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
6099653181956813,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4904359356640652,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4904359356640652,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4904359356640652,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4904359356640652,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4904359356640652,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4527839029796858,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4527839029796858,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4527839029796858,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4527839029796858,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4527839029796858,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,True,,
8242795895653978,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8242795895653978,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8242795895653978,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8242795895653978,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
8242795895653978,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7418631721957787,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7418631721957787,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7418631721957787,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
7418631721957787,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7418631721957787,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4991196658395377,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4991196658395377,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4991196658395377,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
4991196658395377,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4991196658395377,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4773933379276923,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4773933379276923,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4773933379276923,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4773933379276923,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4773933379276923,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7434020555387564,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7434020555387564,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7434020555387564,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
7434020555387564,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7434020555387564,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,True,,
4983246251664512,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4983246251664512,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4983246251664512,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
4983246251664512,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
4983246251664512,learned,1,evaluated,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,,,False,,
6403928318925214,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6403928318925214,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6403928318925214,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6403928318925214,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
6403928318925214,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6071794348612945,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6071794348612945,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6071794348612945,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
6071794348612945,learned,0.75,evaluated,0.25,0.25,1.0,0.8750000000000001,0.125,0.12499999999999989,0.25,1.0,0.0,False,,
6071794348612945,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7093873628193187,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7093873628193187,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7093873628193187,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
7093873628193187,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7093873628193187,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5366079768233044,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5366079768233044,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
5366079768233044,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
5366079768233044,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5366079768233044,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6157263222003961,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6157263222003961,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6157263222003961,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
6157263222003961,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6157263222003961,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4712059859040266,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4712059859040266,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4712059859040266,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4712059859040266,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4712059859040266,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8103859263335552,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8103859263335552,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8103859263335552,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8103859263335552,learned,0.75,evaluated,0.25,0.25,1.0,0.8750000000000001,0.125,0.12499999999999989,0.25,1.0,0.0,False,,
8103859263335552,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5305632906107458,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5305632906107458,learned,0.25,evaluated,0.75,0.75,1.0,0.6250000000000001,0.375,0.3749999999999999,0.75,1.0,0.0,False,,
5305632906107458,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
5305632906107458,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5305632906107458,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7801214913130197,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7801214913130197,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7801214913130197,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
7801214913130197,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
7801214913130197,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6721739658381371,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6721739658381371,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6721739658381371,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6721739658381371,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6721739658381371,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5405796570432610,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5405796570432610,learned,0.25,evaluated,0.75,0.75,1.0,0.6250000000000001,0.375,0.3749999999999999,0.75,1.0,0.0,False,,
5405796570432610,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
