seed,status,A1,A2,A3,A4,reward_application,controls
7203412953912042,pass,pass,pass,pass,pass,pass,pass
6787546966275242,pass,pass,pass,pass,pass,pass,pass
8396052468091594,pass,pass,pass,pass,pass,pass,pass
8544839364282845,pass,pass,pass,pass,pass,pass,pass
7621625333099352,pass,pass,pass,pass,pass,pass,pass
4573329353528347,pass,pass,pass,pass,pass,pass,pass
6550423752103280,pass,pass,pass,pass,pass,pass,pass
6110405684015759,pass,pass,pass,pass,pass,pass,pass
7966862342707171,pass,pass,pass,pass,pass,pass,pass
6099653181956813,pass,pass,pass,pass,pass,pass,pass
4904359356640652,pass,pass,pass,pass,pass,pass,pass
4527839029796858,pass,pass,pass,pass,pass,pass,pass
8242795895653978,pass,pass,pass,pass,pass,pass,pass
7418631721957787,pass,pass,pass,pass,pass,pass,pass
4991196658395377,pass,pass,pass,pass,pass,pass,pass
4773933379276923,pass,pass,pass,pass,pass,pass,pass
7434020555387564,pass,pass,pass,pass,pass,pass,pass
4983246251664512,pass,pass,pass,pass,pass,pass,pass
6403928318925214,pass,pass,pass,pass,pass,pass,pass
6071794348612945,pass,pass,pass,pass,pass,pass,pass
7093873628193187,pass,pass,pass,pass,pass,pass,pass
5366079768233044,pass,pass,pass,pass,pass,pass,pass
6157263222003961,pass,pass,pass,pass,pass,pass,pass
4712059859040266,pass,pass,pass,pass,pass,pass,pass
8103859263335552,pass,pass,pass,pass,pass,pass,pass
5305632906107458,pass,pass,pass,pass,pass,pass,pass
7801214913130197,pass,pass,pass,pass,pass,pass,pass
6721739658381371,pass,pass,pass,pass,pass,pass,pass
5405796570432610,pass,pass,pass,pass,pass,pass,pass
8640927588617627,pass,pass,pass,pass,pass,pass,pass
6021815605533097,pass,pass,pass,pass,pass,pass,pass
8163156671399542,pass,pass,pass,pass,pass,pass,pass
6118973495324452,pass,pass,pass,pass,pass,pass,pass
8820883060662423,pass,pass,pass,pass,pass,pass,pass
8082664755755800,pass,pass,pass,pass,pass,pass,pass
5091417859571657,pass,pass,pass,pass,pass,pass,pass
6656778425370462,pass,pass,pass,pass,pass,pass,pass
8836421164323776,pass,pass,pass,pass,pass,pass,pass
6972562656253098,pass,pass,pass,pass,pass,pass,pass
6855703105561904,pass,pass,pass,pass,pass,pass,pass
6719922874734692,pass,pass,pass,pass,pass,pass,pass
4509633139869090,pass,pass,pass,pass,pass,pass,pass
5440373874744259,pass,pass,pass,pass,pass,pass,pass
7369126503459937,pass,pass,pass,pass,pass,pass,pass
5824059441962779,pass,pass,pass,pass,pass,pass,pass
8232983095136994,pass,pass,pass,pass,pass,pass,pass
5288836941123258,pass,pass,pass,pass,pass,pass,pass
7591317033749127,pass,pass,pass,pass,pass,pass,pass
8509498972158621,pass,pass,pass,pass,pass,pass,pass
7424283626434503,pass,pass,pass,pass,pass,pass,pass
7456564734221250,pass,pass,pass,pass,pass,pass,pass
5624022182982751,pass,pass,pass,pass,pass,pass,pass
6624977409084642,pass,pass,pass,pass,pass,pass,pass
5176934956524685,pass,pass,pass,pass,pass,pass,pass
6372272050493176,pass,pass,pass,pass,pass,pass,pass
7655690915929329,pass,pass,pass,pass,pass,pass,pass
7192979647670795,pass,pass,pass,pass,pass,pass,pass
6817441907101595,pass,pass,pass,pass,pass,pass,pass
8180638057683268,pass,pass,pass,pass,pass,pass,pass
5700629466038147,pass,pass,pass,pass,pass,pass,pass
5551444335972812,pass,pass,pass,pass,pass,pass,pass
8308076287786659,pass,pass,pass,pass,pass,pass,pass
5983109371995643,pass,pass,pass,pass,pass,pass,pass
8818711133188617,pass,pass,pass,pass,pass,pass,pass
6337674741499571,pass,pass,pass,pass,pass,pass,pass
6066063220797058,pass,pass,pass,pass,pass,pass,pass
6255355983036936,pass,pass,pass,pass,pass,pass,pass
7888841014687482,pass,pass,pass,pass,pass,pass,pass
7382966815992815,pass,pass,pass,pass,pass,pass,pass
7382078414008017,pass,pass,pass,pass,pass,pass,pass
7354006236677936,pass,pass,pass,pass,pass,pass,pass
7244029156487606,pass,pass,pass,pass,pass,pass,pass
4985404432766178,pass,pass,pass,pass,pass,pass,pass
5735180100092924,pass,pass,pass,pass,pass,pass,pass
7407006109877389,pass,pass,pass,pass,pass,pass,pass
8021734611264250,pass,pass,pass,pass,pass,pass,pass
5361814655212309,pass,pass,pass,pass,pass,pass,pass
7617641490064639,pass,pass,pass,pass,pass,pass,pass
7175145193796517,pass,pass,pass,pass,pass,pass,pass
6264317758262797,pass,pass,pass,pass,pass,pass,pass
6939907912004924,pass,pass,pass,pass,pass,pass,pass
7407742029557936,pass,pass,pass,pass,pass,pass,pass
7794940871390271,pass,pass,pass,pass,pass,pass,pass
7376622239363436,pass,pass,pass,pass,pass,pass,pass
7226513534464641,pass,pass,pass,pass,pass,pass,pass
6779306258772195,pass,pass,pass,pass,pass,pass,pass
6183346651464625,pass,pass,pass,pass,pass,pass,pass
4630964276898920,pass,pass,pass,pass,pass,pass,pass
8344748512168138,pass,pass,pass,pass,pass,pass,pass
6319269045107186,pass,pass,pass,pass,pass,pass,pass
5786739248216246,pass,pass,pass,pass,pass,pass,pass
6449062486227475,pass,pass,pass,pass,pass,pass,pass
8085229848962583,pass,pass,pass,pass,pass,pass,pass
8450577100678963,pass,pass,pass,pass,pass,pass,pass
6584036317469427,pass,pass,pass,pass,pass,pass,pass
8395582740071943,pass,pass,pass,pass,pass,pass,pass
4601303174214501,pass,pass,pass,pass,pass,pass,pass
8065388135982942,pass,pass,pass,pass,pass,pass,pass
6553199780087373,pass,pass,pass,pass,pass,pass,pass
5984918795485780,pass,pass,pass,pass,pass,pass,pass
5161655856868505,pass,pass,pass,pass,pass,pass,pass
8049418700437784,pass,pass,pass,pass,pass,pass,pass
5417235775681511,pass,pass,pass,pass,pass,pass,pass
8364521461195652,pass,pass,pass,pass,pass,pass,pass
8115670216916981,pass,pass,pass,pass,pass,pass,pass
6491089107220140,pass,pass,pass,pass,pass,pass,pass
5444995653105725,pass,pass,pass,pass,pass,pass,pass
6353939971236550,pass,pass,pass,pass,pass,pass,pass
6052639007745895,pass,pass,pass,pass,pass,pass,pass
6209974598468047,pass,pass,pass,pass,pass,pass,pass
5453639939483453,pass,pass,pass,pass,pass,pass,pass
8246693119176712,pass,pass,pass,pass,pass,pass,pass
6599930658910346,pass,pass,pass,pass,pass,pass,pass
5645129857306752,pass,pass,pass,pass,pass,pass,pass
6060926753171840,pass,pass,pass,pass,pass,pass,pass
7675419849706076,pass,pass,pass,pass,pass,pass,pass
4771313297774626,pass,pass,pass,pass,pass,pass,pass
5044834546955739,pass,pass,pass,pass,pass,pass,pass
8023808805839102,pass,pass,pass,pass,pass,pass,pass
7836056526608109,pass,pass,pass,pass,pass,pass,pass
5790248557819175,pass,pass,pass,pass,pass,pass,pass
8947914482665725,pass,pass,pass,pass,pass,pass,pass
8198632374901448,pass,pass,pass,pass,pass,pass,pass
7950535318748787,pass,pass,pass,pass,pass,pass,pass
8386914675462091,pass,pass,pass,pass,pass,pass,pass
4787153568130853,pass,pass,pass,pass,pass,pass,pass
5499034834410363,pass,pass,pass,pass,pass,pass,pass
